SCORE:     score     fa_atr     fa_rep     fa_sol    fa_intra_rep    fa_intra_sol_xover4    lk_ball_wtd    fa_elec    pro_close    hbond_sr_bb    hbond_lr_bb    hbond_bb_sc    hbond_sc    dslf_fa13      omega     fa_dun    p_aa_pp    yhh_planarity        ref    rama_prepro    Filter_Stage2_aBefore    Filter_Stage2_bQuarter    Filter_Stage2_cHalf    Filter_Stage2_dEnd    co        rms     maxsub    clashes_total    clashes_bb       time description
SCORE:  -349.831   -733.989     76.608    509.059           1.124                 23.960        -23.658   -220.622        0.389        -87.466         -1.791         -8.563     -16.525        0.000     10.525    151.250    -10.295            0.120    -11.210         -8.748                    0.000                     0.000                  0.000                 0.000 12.352      0.752    117.000            0.000         0.000    253.000  S_00000005
SCORE:  -354.726   -734.172     74.021    521.889           1.256                 25.171        -23.373   -238.135        0.499        -86.294         -1.808         -8.996     -20.130        0.000      7.476    154.247     -8.326            0.155    -11.210         -6.996                    0.000                     0.000                  0.000                 0.000 12.404      1.078    117.000            0.000         0.000    279.000  S_00000007
SCORE:  -320.640   -698.436     77.739    499.132           1.186                 25.847        -19.350   -226.509        0.234        -81.800         -1.517         -7.634     -19.041        0.000     10.996    150.691     -9.594            0.232    -11.210        -11.605                    0.000                     0.000                  0.000                 0.000 11.486      2.023    117.000            0.000         0.000    284.000  S_00000009
SCORE:  -321.563   -708.980     77.456    500.270           1.191                 27.506        -23.687   -220.338        0.453        -81.322         -1.464         -8.734     -13.670        0.000      9.612    148.514     -8.228            0.070    -11.210         -9.003                    0.000                     0.000                  0.000                 0.000 11.856      2.059    117.000            0.000         0.000    216.000  S_00000010
SCORE:  -346.446   -721.363     76.228    506.744           1.185                 24.005        -23.005   -222.707        0.277        -87.729         -1.124         -7.689     -17.953        0.000     10.316    147.494    -10.948            0.161    -11.210         -9.127                    0.000                     0.000                  0.000                 0.000 11.976      0.930    117.000            0.000         0.000    248.000  S_00000002
SCORE:  -335.469   -716.701     74.283    513.719           1.115                 25.316        -23.077   -235.722        0.194        -85.566         -1.483         -6.192     -19.290        0.000      9.575    154.569     -8.856            0.192    -11.210         -6.334                    0.000                     0.000                  0.000                 0.000 12.166      1.104    117.000            0.000         0.000    250.000  S_00000001
SCORE:  -315.044   -684.984     69.699    505.398           1.141                 23.757        -25.860   -208.955        0.338        -84.721         -1.953         -8.263     -19.992        0.000      6.968    147.463    -11.430            0.602    -11.210        -13.043                    0.000                     0.000                  0.000                 0.000 12.803      7.166     81.000            0.000         0.000    251.000  S_00000007
SCORE:  -346.923   -725.036     74.602    511.749           1.200                 25.903        -21.867   -228.113        0.320        -86.223         -1.315         -7.675     -20.510        0.000     10.759    153.010    -10.059            0.184    -11.210        -12.645                    0.000                     0.000                  0.000                 0.000 11.433      1.802    117.000            0.000         0.000    263.000  S_00000006
SCORE:  -345.081   -730.535     77.356    500.541           1.143                 23.796        -22.084   -219.382        0.356        -82.195         -1.726         -9.165     -15.715        0.000     11.998    152.198    -10.177            0.061    -11.210        -10.342                    0.000                     0.000                  0.000                 0.000 12.505      0.747    117.000            0.000         0.000    267.000  S_00000008
SCORE:  -352.275   -721.764     75.974    509.877           1.154                 25.634        -21.989   -235.990        0.343        -84.737         -0.891         -9.416     -21.431        0.000      8.288    152.883    -10.310            0.226    -11.210         -8.916                    0.000                     0.000                  0.000                 0.000 12.218      1.357    117.000            0.000         0.000    276.000  S_00000018
SCORE:  -346.244   -716.878     73.405    513.345           1.163                 25.102        -22.001   -226.304        0.409        -85.615         -1.181        -10.118     -22.174        0.000      9.319    148.837    -11.944            0.841    -11.210        -11.240                    0.000                     0.000                  0.000                 0.000 11.955      1.197    117.000            0.000         0.000    283.000  S_00000005
SCORE:  -346.110   -724.304     75.259    500.997           1.133                 25.224        -22.792   -210.659        0.340        -86.387         -0.867         -9.386     -17.283        0.000      8.895    145.274     -9.426            0.254    -11.210        -11.173                    0.000                     0.000                  0.000                 0.000 12.084      1.048    117.000            0.000         0.000    291.000  S_00000009
SCORE:  -342.884   -719.500     73.919    512.867           1.152                 26.280        -26.239   -233.214        0.299        -80.667         -1.332         -8.845     -18.291        0.000      8.743    153.099     -9.228            0.157    -11.210        -10.874                    0.000                     0.000                  0.000                 0.000 12.212      0.840    117.000            0.000         0.000    299.000  S_00000014
SCORE:  -343.512   -716.144     73.007    507.053           1.146                 23.928        -23.377   -224.453        0.357        -82.438         -2.416        -11.174     -17.767        0.000      9.916    145.167    -10.101            0.078    -11.210         -5.082                    0.000                     0.000                  0.000                 0.000 11.997      1.732    117.000            0.000         0.000    310.000  S_00000011
SCORE:  -333.172   -704.462     74.233    513.977           1.167                 26.651        -21.150   -236.435        0.182        -87.830         -1.272         -9.520     -18.340        0.000      9.891    155.388    -12.374            0.078    -11.210        -12.146                    0.000                     0.000                  0.000                 0.000 11.763      1.766    117.000            0.000         0.000    312.000  S_00000013
SCORE:  -339.717   -728.689     73.625    518.161           1.199                 26.132        -21.711   -232.138        0.273        -86.482         -1.429         -7.608     -19.581        0.000     10.380    155.755    -10.511            0.135    -11.210         -6.019                    0.000                     0.000                  0.000                 0.000 12.029      1.276    117.000            0.000         0.000    318.000  S_00000016
SCORE:  -351.623   -726.657     75.347    506.885           1.153                 25.766        -25.235   -218.832        0.266        -86.694         -1.143         -9.290     -16.897        0.000     12.645    145.534    -10.369            0.354    -11.210        -13.246                    0.000                     0.000                  0.000                 0.000 11.859      0.861    117.000            0.000         0.000    319.000  S_00000019
SCORE:  -344.170   -721.587     75.833    506.779           1.165                 26.622        -22.900   -219.551        0.431        -85.093         -1.243         -9.198     -18.437        0.000     11.724    145.802    -12.145            0.118    -11.210        -11.281                    0.000                     0.000                  0.000                 0.000 11.795      1.256    117.000            0.000         0.000    323.000  S_00000004
SCORE:  -345.350   -719.059     76.229    498.030           1.131                 25.368        -23.509   -219.809        0.178        -86.477         -1.039         -8.003     -16.844        0.000      8.546    152.853    -11.119            0.113    -11.210        -10.728                    0.000                     0.000                  0.000                 0.000 11.644      1.534    117.000            0.000         0.000    341.000  S_00000003
SCORE:  -340.734   -717.211     75.205    502.804           1.149                 25.762        -23.357   -220.341        0.093        -86.264         -1.302         -7.841     -14.442        0.000      8.426    152.048    -11.184            0.186    -11.210        -13.255                    0.000                     0.000                  0.000                 0.000 11.691      1.518    117.000            0.000         0.000    374.000  S_00000012
SCORE:  -322.865   -701.300     70.434    502.447           1.275                 25.738        -27.631   -222.599        0.437        -83.493         -1.225         -7.183     -18.683        0.000      8.439    156.505     -9.189            0.145    -11.210         -5.774                    0.000                     0.000                  0.000                 0.000 13.088      3.505    102.000            0.000         0.000    384.000  S_00000017
SCORE:  -320.304   -698.426     78.847    486.224           1.176                 25.556        -21.029   -215.576        0.222        -80.844         -0.987         -7.715     -15.208        0.000      8.310    150.939    -10.451            0.266    -11.210        -10.399                    0.000                     0.000                  0.000                 0.000 11.769      2.203    117.000            0.000         0.000    410.000  S_00000015
SCORE:  -324.691   -698.996     69.346    513.261           1.195                 25.685        -19.926   -226.455        0.149        -86.823         -0.473         -9.931     -21.580        0.000      9.471    155.061    -12.246            0.221    -11.210        -11.441                    0.000                     0.000                  0.000                 0.000 12.044      2.979    116.000            0.000         0.000    419.000  S_00000010
SCORE:  -313.822   -687.131     72.847    497.804           1.165                 23.960        -23.079   -220.927        0.070        -83.652         -2.026         -6.633     -18.085        0.000     10.414    152.568    -11.935            0.309    -11.210         -8.280                    0.000                     0.000                  0.000                 0.000 12.219      5.355     79.000            0.000         0.000    216.000  S_00000020
SCORE:  -329.562   -696.151     73.044    502.892           1.130                 24.075        -23.384   -221.631        0.378        -84.881         -0.816         -7.729     -18.653        0.000      8.706    148.788    -12.374            0.067    -11.210        -11.812                    0.000                     0.000                  0.000                 0.000 11.694      2.208    117.000            0.000         0.000    250.000  S_00000001
SCORE:  -315.854   -676.635     65.006    496.651           1.156                 22.425        -26.768   -214.155        0.262        -80.136         -2.385         -7.215     -16.730        0.000      5.482    142.179     -8.457            0.245    -11.210         -5.570                    0.000                     0.000                  0.000                 0.000 15.422     12.075     65.000            0.000         0.000    253.000  S_00000007
SCORE:  -333.997   -709.712     74.780    509.830           1.137                 24.749        -22.757   -226.163        0.093        -84.914         -1.405        -11.708     -19.887        0.000     10.396    155.878    -11.626            0.119    -11.210        -11.595                    0.000                     0.000                  0.000                 0.000 11.733      1.928    117.000            0.000         0.000    268.000  S_00000008
SCORE:  -325.970   -704.099     74.848    514.695           1.163                 26.787        -22.147   -231.106        0.348        -87.037         -1.348         -9.576     -18.913        0.000      9.941    146.563     -9.447            0.341    -11.210         -5.772                    0.000                     0.000                  0.000                 0.000 12.168      1.274    117.000            0.000         0.000    274.000  S_00000004
SCORE:  -347.766   -719.017     69.394    514.668           1.187                 25.750        -21.965   -232.391        0.429        -85.947         -1.482         -9.821     -17.941        0.000      9.772    151.811    -11.615            0.101    -11.210         -9.489                    0.000                     0.000                  0.000                 0.000 11.654      1.225    117.000            0.000         0.000    286.000  S_00000006
SCORE:  -332.553   -707.118     73.286    509.345           1.189                 27.072        -22.865   -240.578        0.265        -83.349         -1.081         -9.451     -16.527        0.000     10.322    154.009     -8.281            0.320    -11.210         -7.902                    0.000                     0.000                  0.000                 0.000 11.749      1.376    117.000            0.000         0.000    286.000  S_00000014
SCORE:  -322.755   -697.014     71.379    509.129           1.243                 26.936        -21.769   -229.082        0.237        -85.981         -0.628         -9.686     -23.089        0.000     11.619    154.979    -10.572            0.326    -11.210         -9.572                    0.000                     0.000                  0.000                 0.000 10.930      4.598     96.000            0.000         0.000    290.000  S_00000018
SCORE:  -342.299   -721.988     76.146    505.393           1.131                 25.231        -24.241   -217.843        0.200        -83.464         -1.486         -8.527     -16.961        0.000      9.703    149.497    -11.170            0.229    -11.210        -12.941                    0.000                     0.000                  0.000                 0.000 11.572      1.319    117.000            0.000         0.000    294.000  S_00000015
SCORE:  -291.395   -643.776     67.824    495.025           1.176                 26.728        -23.205   -218.413        0.094        -85.480         -1.144        -12.209     -17.898        0.000      8.518    146.475    -11.768            0.187    -11.210        -12.319                    0.000                     0.000                  0.000                 0.000 15.212     13.274     51.000            0.000         0.000    276.000  S_00000001
SCORE:  -253.489   -623.449     60.300    505.636           1.179                 27.195        -23.645   -216.303        0.328        -81.386         -1.237         -7.671     -21.650        0.000      4.022    145.718     -9.728            0.135    -11.210         -1.724                    0.000                     0.000                  0.000                 0.000 15.456     14.546     41.000            0.000         0.000    286.000  S_00000017
SCORE:  -332.509   -709.286     76.276    508.326           1.179                 26.318        -22.107   -227.893        0.124        -87.044         -1.248         -9.080     -17.677        0.000     10.865    151.749    -10.980            0.301    -11.210        -11.121                    0.000                     0.000                  0.000                 0.000 12.384      0.981    117.000            0.000         0.000    291.000  S_00000002
SCORE:  -342.013   -730.658     77.551    513.185           1.186                 24.451        -22.897   -223.509        0.217        -88.124         -1.408         -8.624     -16.659        0.000     10.325    156.248    -10.538            0.046    -11.210        -11.594                    0.000                     0.000                  0.000                 0.000 11.896      1.306    117.000            0.000         0.000    295.000  S_00000003
SCORE:  -338.273   -730.488     77.535    511.007           1.175                 25.826        -24.401   -220.148        0.407        -87.323         -1.167         -8.506     -16.028        0.000      9.854    156.101     -9.650            0.246    -11.210        -11.501                    0.000                     0.000                  0.000                 0.000 12.063      0.651    117.000            0.000         0.000    309.000  S_00000005
SCORE:  -338.728   -705.502     69.671    501.725           1.249                 25.888        -22.148   -220.582        0.109        -90.700         -1.540         -8.660     -18.187        0.000     10.798    150.973    -10.717            0.059    -11.210         -9.954                    0.000                     0.000                  0.000                 0.000 11.550      1.238    117.000            0.000         0.000    317.000  S_00000012
SCORE:  -332.263   -699.715     69.060    496.764           1.285                 24.195        -24.737   -215.947        0.398        -87.843         -2.007         -4.983     -13.321        0.000     10.069    146.035    -12.034            0.111    -11.210         -8.383                    0.000                     0.000                  0.000                 0.000 11.681      1.439    117.000            0.000         0.000    318.000  S_00000021
SCORE:  -311.401   -682.104     70.736    492.392           1.179                 23.727        -21.627   -207.889        0.063        -86.014         -1.226         -6.101     -15.027        0.000      7.328    149.501    -12.382            0.386    -11.210        -13.133                    0.000                     0.000                  0.000                 0.000 10.780      2.459    117.000            0.000         0.000    326.000  S_00000016
SCORE:  -317.920   -710.536     78.186    503.566           1.177                 27.632        -21.423   -220.036        0.292        -79.429         -1.507        -10.573     -17.964        0.000      9.749    154.019     -8.881            0.298    -11.210        -11.281                    0.000                     0.000                  0.000                 0.000 11.787      1.102    117.000            0.000         0.000    327.000  S_00000011
SCORE:  -341.087   -729.814     79.486    508.563           1.155                 25.165        -21.196   -217.171        0.227        -86.718         -1.223         -8.658     -16.135        0.000     12.570    148.493    -11.747            0.146    -11.210        -13.023                    0.000                     0.000                  0.000                 0.000 12.366      0.904    117.000            0.000         0.000    333.000  S_00000004
SCORE:  -323.860   -710.067     79.830    500.385           1.194                 24.681        -25.450   -215.714        0.199        -81.719         -1.240         -7.937     -18.020        0.000     10.643    153.838     -9.989            0.295    -11.210        -13.579                    0.000                     0.000                  0.000                 0.000 12.317      1.137    117.000            0.000         0.000    355.000  S_00000013
SCORE:  -340.951   -716.271     75.247    506.326           1.182                 25.113        -22.426   -225.935        0.130        -85.107         -1.748         -9.415     -15.899        0.000      8.824    152.392    -10.912            0.322    -11.210        -11.564                    0.000                     0.000                  0.000                 0.000 11.881      1.228    117.000            0.000         0.000    362.000  S_00000019
SCORE:  -332.366   -728.798     74.242    512.940           1.357                 25.707        -22.009   -221.704        0.414        -83.371         -1.581         -7.904     -18.720        0.000     10.688    157.801    -10.379            0.070    -11.210         -9.908                    0.000                     0.000                  0.000                 0.000 12.425      1.370    117.000            0.000         0.000    372.000  S_00000014
SCORE:  -328.134   -697.960     70.526    502.569           1.154                 25.905        -23.644   -221.571        0.152        -86.268         -2.270         -5.987     -18.178        0.000      8.440    148.468    -11.469            0.425    -11.210         -7.217                    0.000                     0.000                  0.000                 0.000 12.611      1.889    117.000            0.000         0.000    378.000  S_00000009
SCORE:  -319.540   -686.600     74.128    508.152           1.142                 25.733        -23.201   -230.645        0.173        -85.453         -1.849         -9.225     -16.172        0.000      8.884    148.006    -10.830            0.185    -11.210        -10.757                    0.000                     0.000                  0.000                 0.000 10.771      3.826    105.000            0.000         0.000    383.000  S_00000008
SCORE:  -349.272   -728.693     77.587    506.074           1.149                 23.421        -23.081   -219.627        0.256        -87.902         -1.387         -8.149     -17.613        0.000      8.175    152.319     -9.717            0.087    -11.210        -10.962                    0.000                     0.000                  0.000                 0.000 12.288      1.126    117.000            0.000         0.000    399.000  S_00000007
SCORE:  -336.255   -714.297     73.726    502.758           1.174                 24.672        -21.596   -226.661        0.158        -81.811         -1.404         -9.462     -14.820        0.000      9.468    153.923    -10.984            0.135    -11.210        -10.023                    0.000                     0.000                  0.000                 0.000 12.266      1.695    117.000            0.000         0.000    399.000  S_00000006
